Yield,All,>3l,1_SFOS,Z_window,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,>6l,6l,5l,4l,All,1_SFOS,2_SFOS_>6l,2_SFOS_=6l,ee_before,mm_before,em_before,3_SFOS_before,Z3_40GeV,3_SFOS_after,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,ee_after,mm_after,em_after,ZZZ_>6l,ZZZ_6l,>=5l,2_SFOS,Z_window,B_veto60,B_veto70,B_veto77,B_veto85,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,WZZ_>6l,WZZ_6l,WZZ_5l,>=4l,Dilepton,B_veto60,B_veto70,B_veto77,B_veto85,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,WWZ_>6l,WWZ_6l,WWZ_5l,WWZ_4l,WWZ_SF_noZ,WWZ_SF_noZ_base,WWZ_SF_noZ_fwde,WWZ_SF_noZ_lowptm,WWZ_SF_inZ,WWZ_SF_inZ_base,WWZ_SF_inZ_fwde,WWZ_SF_inZ_lowptm,WWZ_em,WWZ_em_base,WWZ_em_fwde,WWZ_em_lowptm
llll,33721.47134 ,10422.63846 ,10102.77966 ,6204.629127 ,5999.275468 ,4844.132226 ,565.4116285 ,511.7341228 ,841.2508262 ,715.9286586 ,0.2592000984 ,4.903126363 ,181.7149394 ,6017.751861 ,5.29321225 ,0.2812319295 ,0.1519803875 ,3.668862317 ,2.533291434 ,0.0990572707 ,1.036513612 ,0.7766266903 ,0.7141952774 ,0.1344001524 ,0.13278813 ,0.01679246031 ,0.1129553363 ,0.1057193724 ,0.008762037382 ,0.008335419378 ,0.2749940921 ,0.004737124487 ,0.3000639085 ,0.01514796676 ,0.6990473106 ,186.0626666 ,169.0381091 ,79.35447705 ,77.38161871 ,76.7701637 ,75.9803422 ,73.41702154 ,75.72212056 ,15.94038894 ,51.98608462 ,49.687176 ,8.492339831 ,8.384604367 ,0.05101432466 ,1.822595674 ,77.48086705 ,6122.238373 ,4460.735405 ,4391.222475 ,4365.056707 ,4325.832826 ,4209.911609 ,4388.04676 ,3878.713242 ,447.6546006 ,394.7083367 ,156.186799 ,152.9311821 ,0.140278089 ,0.9682570725 ,51.25875678 ,4408.368113 ,1716.993049 ,1427.986408 ,187.5973734 ,104.5612909 ,2383.433081 ,2244.607497 ,131.5631381 ,7.627499908 ,224.2566961 ,89.26633509 ,113.6938885 ,38.75721058 
ggllll_130M4l,647.0143492 ,286.2539002 ,278.2805328 ,273.0608673 ,271.1352749 ,247.8385955 ,20.37658107 ,18.93329987 ,5.233349033 ,5.162041572 ,0.004764576262 ,0.2342493937 ,8.936644351 ,263.885209 ,0.2451182756 ,0.005178382172 ,0.00383089556 ,0.1885386829 ,0.1363737031 ,0.00481834184 ,0.04734663793 ,0.03556880068 ,0.04048044523 ,0.007351574786 ,0.007351574786 ,0.001461025066 ,0.005890549721 ,0.005877588352 ,0 ,0 ,0.016368506 ,0 ,0.01676036445 ,0.0004062831867 ,0.04007416205 ,9.133819536 ,8.421929757 ,6.405311205 ,6.300907126 ,6.262915889 ,6.191929111 ,5.984647802 ,6.168684376 ,1.297206923 ,4.138780192 ,3.977302404 ,0.7984473594 ,0.7933103487 ,0.001875057824 ,0.1372812045 ,6.266154943 ,266.4459492 ,256.0523222 ,253.0882463 ,251.6927 ,249.3000933 ,241.7631593 ,254.2737787 ,236.6082274 ,16.03766994 ,14.6839344 ,3.710007397 ,3.680450725 ,0.001930443334 ,0.03388829446 ,2.11951135 ,253.8969921 ,70.08749724 ,62.19658835 ,6.057850321 ,1.902312635 ,169.6337806 ,163.4541226 ,5.69665228 ,0.5025509905 ,9.541672737 ,4.949652124 ,3.647600956 ,1.13927228 
WWZ_4l2v,119.7287083 ,42.70967471 ,41.08333429 ,38.22172132 ,38.00153631 ,34.222455 ,3.206163573 ,3.023255951 ,0.8398684046 ,0.8374849035 ,0 ,0.04205027389 ,1.1725096 ,37.00716144 ,0.04308148867 ,0.009479501692 ,0 ,0.03036751359 ,0.02332241336 ,0 ,0.007045100234 ,0.001728419495 ,0.01132535828 ,8.905928189e-05 ,8.905928189e-05 ,3.498986553e-05 ,5.406941636e-05 ,5.406941636e-05 ,0 ,0 ,0.006919172447 ,0 ,0.004317126552 ,0 ,0.01132535828 ,1.202886748 ,0.8436708346 ,0.138135625 ,0.1320277027 ,0.1302657102 ,0.1247965705 ,0.1193333429 ,0.1246446537 ,0.02703705175 ,0.08142282731 ,0.07791345111 ,0.01936051022 ,0.01936051022 ,0 ,0.003417738073 ,0.1347178869 ,38.06875162 ,36.4664949 ,35.99206239 ,35.70063119 ,35.23288862 ,33.59904151 ,36.25824708 ,32.68880758 ,3.107376828 ,2.925681276 ,0.7097486312 ,0.7074265379 ,0 ,0.0241997764 ,0.950938949 ,35.49135617 ,15.75432939 ,14.09897206 ,1.384793733 ,0.2838031757 ,1.696819852 ,1.524181967 ,0.1595434435 ,0.01403950297 ,17.77586892 ,16.00346566 ,1.427538288 ,0.3681121061 
WZZ_5l1v,16.79904347 ,9.312786171 ,9.001633669 ,8.720270719 ,8.686781377 ,7.83681903 ,0.7056532582 ,0.6467482625 ,0.1908674229 ,0.1896171842 ,0.003643140065 ,0.09748854852 ,3.11955932 ,5.499579711 ,0.1041610594 ,0.002655288605 ,0.002176056232 ,0.07055400713 ,0.02425193867 ,0.004223113559 ,0.0420789549 ,0.02229066192 ,0.06516807159 ,0.01499194542 ,0.01499194542 ,0.003776001758 ,0.01009553666 ,0.009346948051 ,0.001236367752 ,0.001236367752 ,0.01718223427 ,0.001799000786 ,0.0311948911 ,0.0007322794054 ,0.06443579218 ,3.153178508 ,2.85439602 ,2.333540308 ,2.298030871 ,2.277898408 ,2.246641081 ,2.143990515 ,2.244971334 ,2.091806815 ,0.1190594707 ,0.112734555 ,0.03644476318 ,0.03631361776 ,0.001973623171 ,0.02186698628 ,2.309699699 ,6.226435629 ,5.970020563 ,5.876691438 ,5.791337499 ,5.596191555 ,5.068570417 ,5.940388002 ,5.309882217 ,0.5452875154 ,0.4918218058 ,0.1253756688 ,0.1249213459 ,0.0004369815024 ,0.007035456266 ,0.6711620672 ,5.291386058 ,2.146153026 ,1.880472697 ,0.213532356 ,0.05455326781 ,1.588087498 ,1.491849883 ,0.09016640698 ,0.006907738418 ,1.853484283 ,1.604550895 ,0.2024943772 ,0.05296540669 
ZZZ_6l0v,1.516698997 ,1.064789234 ,1.03303701 ,1.01460044 ,1.011676834 ,0.9125185825 ,0.0821455112 ,0.07323556518 ,0.02148448785 ,0.02132847886 ,0.00584151674 ,0.1899012127 ,0.3251844196 ,0.4936732913 ,0.2008548732 ,0.0005437974326 ,0.0004913506978 ,0.02207870314 ,0.01281259423 ,0.0002458628209 ,0.009020246088 ,0.1633294438 ,0.1737029997 ,0.156859019 ,0.156859019 ,0.147078531 ,0.008200066712 ,0.007820652219 ,0.001636959977 ,0.001636959977 ,0.01184698284 ,0.000121116509 ,0.004875881359 ,0.004734937177 ,0.1689680625 ,0.3384699593 ,0.3097755068 ,0.2538956801 ,0.2514202097 ,0.2487015272 ,0.2421088708 ,0.2223360488 ,0.2416079329 ,0.2195192453 ,0.01710379183 ,0.01588530496 ,0.005470308736 ,0.005423670483 ,0.000694530093 ,0.009877964498 ,0.2433231855 ,0.5681009385 ,0.5431947988 ,0.5352756639 ,0.5217510122 ,0.4879740405 ,0.4124567498 ,0.540683996 ,0.4847865242 ,0.0484952899 ,0.04177192834 ,0.01088955718 ,0.01084583054 ,0.0001251830591 ,0.001814381953 ,0.06730390028 ,0.4739513335 ,0.1768017286 ,0.1549246541 ,0.01780383369 ,0.004308446901 ,0.1937906963 ,0.1815352991 ,0.01170116928 ,0.0007575392766 ,0.1155367091 ,0.09728423399 ,0.01439349134 ,0.004332001314 
ZZZ_4l2v,5.590816433 ,2.582239508 ,2.510987791 ,2.48495991 ,2.473206652 ,2.241839904 ,0.2067170342 ,0.1853127615 ,0.03928282599 ,0.03874671869 ,7.410340186e-05 ,0.001830427335 ,0.0692130939 ,2.413842286 ,0.001955866491 ,0 ,7.760978042e-05 ,0.00131300937 ,0.001254534438 ,0 ,5.84749323e-05 ,0.0004582610418 ,0.0004784002012 ,0.000310934367 ,0.000310934367 ,0.0002261967165 ,8.473765047e-05 ,8.473765047e-05 ,0 ,0 ,0.0001674658342 ,0 ,0 ,0 ,0.0004784002012 ,0.07063094983 ,0.06478493399 ,0.05108074912 ,0.05060236402 ,0.05018219067 ,0.04961817889 ,0.04734738058 ,0.04959736583 ,0.01156804245 ,0.0327185641 ,0.03115578511 ,0.005544835846 ,0.005544835846 ,7.760978042e-05 ,0.001122280778 ,0.04988085857 ,2.432081619 ,2.346666841 ,2.324359387 ,2.313092948 ,2.290013316 ,2.223606975 ,2.334813024 ,2.144309406 ,0.1760451177 ,0.1538814408 ,0.02893704078 ,0.02887101143 ,0 ,0.000105905594 ,0.01642495013 ,2.330135985 ,0.5774187466 ,0.5029083976 ,0.06176559977 ,0.0131451498 ,1.627687222 ,1.543314524 ,0.07897509407 ,0.005648678255 ,0.08486825976 ,0.04799816389 ,0.03015028114 ,0.00828095601 
ZqqZll,6364.375823 ,234.627299 ,220.5995358 ,199.4042413 ,181.1877511 ,43.94150224 ,126.3720632 ,63.78943668 ,45.60004896 ,41.72842323 ,0 ,0.1724089508 ,5.083493672 ,194.1483387 ,0.1740411632 ,0.08605231252 ,0 ,0.01265871152 ,0.01265871152 ,0 ,0 ,0.07584512094 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.255902623 ,1.698753507 ,0.2514379635 ,0.2510744031 ,0.2516081546 ,0.2521692764 ,0.2262308961 ,0.2514379635 ,0 ,0.2514379635 ,0.1818952854 ,0 ,0 ,0 ,0 ,0.2514379635 ,199.1574199 ,177.6954996 ,149.4757882 ,143.3712258 ,136.7674053 ,126.5744901 ,161.37959 ,34.42578865 ,123.2976937 ,59.76354948 ,35.2014295 ,33.6874596 ,0 ,0.0988693067 ,3.950740636 ,173.6458896 ,85.68079203 ,10.73842595 ,71.42804913 ,3.920732406 ,2.345086122 ,0.3158018105 ,1.977276296 ,0.0520080151 ,48.19210835 ,15.38146294 ,22.23846917 ,21.4990674 
WqqZll,8817.067243 ,297.5950093 ,277.0960262 ,252.015623 ,225.9879903 ,29.8338076 ,199.7084196 ,80.3689029 ,49.57822621 ,45.64015407 ,0.0001952803868 ,0.1354431227 ,7.000893094 ,244.8790915 ,0.1407698957 ,0.1018318577 ,0 ,0.03623388303 ,0.005879629083 ,0 ,0.03035425395 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.136531497 ,1.767978845 ,0.2539505237 ,0.2538820095 ,0.2539775045 ,0.2471069135 ,0.2459698616 ,0.1920391154 ,0 ,0.2474277485 ,0.1055230959 ,0.02840754576 ,0.02840754576 ,0 ,0 ,0.2539505237 ,251.7715696 ,233.4790978 ,227.8850821 ,224.0345553 ,217.5065406 ,201.0246739 ,209.4412937 ,20.69514323 ,196.9940247 ,75.40647126 ,40.51727446 ,39.13520473 ,0.0002434876224 ,0.09796989256 ,6.027846237 ,227.3530382 ,151.4879372 ,7.296619254 ,140.3586343 ,4.858963033 ,4.047218243 ,0.1478750985 ,3.89922089 ,0.000122254045 ,61.63187135 ,11.58606306 ,39.09503222 ,33.11518544 
WWZ_3l1v2j,278.7250621 ,12.55825034 ,11.99795613 ,11.0224141 ,10.81213525 ,3.430447405 ,6.239266627 ,5.810360704 ,1.53130177 ,1.50440907 ,0 ,0.01256458927 ,0.376543044 ,10.63330647 ,0.0128516613 ,0.005104596028 ,0 ,0.007234916324 ,0.002200739691 ,0 ,0.005034176633 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.3891076333 ,0.1635945941 ,0.02145050373 ,0.01929565961 ,0.0167248596 ,0.01670161751 ,0.01661536377 ,0.01672437368 ,0.00253928802 ,0.01418508566 ,0.005808045389 ,0 ,0 ,0 ,0 ,0.02145050373 ,11.0007381 ,10.58864165 ,10.36611749 ,10.12103591 ,9.707077192 ,8.5490688 ,10.38009839 ,3.201071041 ,6.183439587 ,5.750096994 ,1.376215381 ,1.357611849 ,0 ,0.01015478512 ,0.3167679143 ,10.26171895 ,4.339482192 ,1.290239687 ,2.549229734 ,0.5279696567 ,0.4048919871 ,0.1020861007 ,0.2901199003 ,0.01688172226 ,4.943749973 ,1.567004473 ,2.795425196 ,0.7082321639 
