Yield,All,>3l,1_SFOS,Z_window,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,>6l,6l,5l,4l,All,1_SFOS,2_SFOS_>6l,2_SFOS_=6l,ee_before,mm_before,em_before,3_SFOS_before,Z3_40GeV,3_SFOS_after,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,ee_after,mm_after,em_after,ZZZ_>6l,ZZZ_6l,>=5l,2_SFOS,Z_window,B_veto60,B_veto70,B_veto77,B_veto85,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,WZZ_>6l,WZZ_6l,WZZ_5l,>=4l,Dilepton,B_veto60,B_veto70,B_veto77,B_veto85,passTrig,no_fwde_lowptm,e_fwd,e_fwd_1,m_lowpt,m_lowpt_1,WWZ_>6l,WWZ_6l,WWZ_5l,WWZ_4l,WWZ_SF_noZ,WWZ_SF_noZ_base,WWZ_SF_noZ_fwde,WWZ_SF_noZ_lowptm,WWZ_SF_inZ,WWZ_SF_inZ_base,WWZ_SF_inZ_fwde,WWZ_SF_inZ_lowptm,WWZ_em,WWZ_em_base,WWZ_em_fwde,WWZ_em_lowptm
WZZ_4l2j,24.89155502 ,11.15111744 ,10.84506588 ,10.73103185 ,10.6732486 ,9.508886486 ,1.001389882 ,0.9070617796 ,0.2401837544 ,0.2382788413 ,0.0003300066164 ,0.01881604582 ,0.4926351838 ,10.21925061 ,0.0195627924 ,0.001459608346 ,0.0001537947101 ,0.01440510426 ,0.008870133437 ,0.0008365496906 ,0.004698421134 ,0.002640079453 ,0.003744011633 ,0.0007289176428 ,0.0007289176428 ,0 ,0.0007289176428 ,0.0007289176428 ,0 ,0 ,0.002027635345 ,0 ,0.0009874586453 ,0 ,0.003744011633 ,0.5080421363 ,0.4676261219 ,0.3647010374 ,0.3544621383 ,0.3488369834 ,0.3366914277 ,0.3069514097 ,0.3350281307 ,0.1070539306 ,0.1914618625 ,0.1828511686 ,0.04004187892 ,0.03956991728 ,0.0001558571676 ,0.01049460989 ,0.3540505703 ,10.35550506 ,9.9944354 ,9.784079828 ,9.568631335 ,9.186805125 ,8.155094419 ,9.940160695 ,9.029818808 ,0.809311588 ,0.7145177276 ,0.1709593187 ,0.1703019846 ,0.0001712701487 ,0.00334272839 ,0.1200593493 ,9.870862052 ,2.391316187 ,2.049915187 ,0.2816249935 ,0.06307365314 ,6.305015333 ,5.996603822 ,0.2785632631 ,0.03109821744 ,0.4687947178 ,0.2433383438 ,0.1773929094 ,0.05635677732 
WZZ_3l1v2j,95.08482438 ,4.808973698 ,4.568901998 ,4.202715246 ,4.125268984 ,1.634929603 ,2.034146882 ,1.878595297 ,0.6017223898 ,0.5909430099 ,0 ,0.006536915345 ,0.1458173358 ,4.050360995 ,0.006774140784 ,0.002924717526 ,0 ,0.002896842314 ,0.002896842314 ,0 ,0 ,0.0008465356077 ,0.002148834232 ,0.0008465356077 ,0.0008465356077 ,0 ,0.0008465356077 ,0.0008465356077 ,0 ,0 ,0.001302298624 ,0 ,0 ,0 ,0.002148834232 ,0.1501240555 ,0.06076848922 ,0.01110077138 ,0.008798902459 ,0.008221363273 ,0.006242555081 ,0.006300931705 ,0.005348912565 ,0.001971153426 ,0.0042023082 ,0.003377759139 ,1.533321301e-05 ,1.533321301e-05 ,0 ,0 ,0.01110077138 ,4.189473328 ,3.984349853 ,3.274831823 ,3.125754825 ,2.920189284 ,2.587302203 ,3.916656732 ,1.523201198 ,2.002095805 ,1.841283739 ,0.5238144427 ,0.5222843719 ,0 ,0.003481692256 ,0.1215208715 ,3.859347289 ,1.3311287 ,0.4633071209 ,0.7516191604 ,0.131173185 ,0.1378729841 ,0.04975825927 ,0.08092494552 ,0.008111229035 ,1.438967603 ,0.5207396652 ,0.7435302654 ,0.2051707381 
WWW_3l3v,217.7407235 ,6.950023999 ,5.73156084 ,2.076332763 ,1.987643597 ,0.4522223688 ,1.36475561 ,1.237849526 ,0.2971954716 ,0.2971954716 ,0.004085390363 ,2.251683782e-06 ,0.03676183837 ,2.035483282 ,0.00433960801 ,0.00433960801 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.04084948041 ,0.01743987371 ,0.0006447712076 ,0.0006447712076 ,0.0006448738859 ,0.0006430498906 ,0.0006383059081 ,0 ,0 ,0.0006447712076 ,0 ,0 ,0 ,0 ,0 ,0.0006447712076 ,2.075532669 ,1.951321861 ,1.918178306 ,1.884544212 ,1.843916426 ,1.780740372 ,1.868754249 ,0.3736417612 ,1.349089917 ,1.220603568 ,0.2651495076 ,0.2651495076 ,0.003863685997 ,2.415417157e-06 ,0.03118252967 ,1.91627323 ,0.8368703361 ,0.151102251 ,0.5876275888 ,0.1204124495 ,0.09152976856 ,0.02941395389 ,0.06211581467 ,0 ,0.9136774919 ,0.1629428944 ,0.6404615839 ,0.1187752117 
WWZ_2l4v,5.753089534 ,0.1612363023 ,0.1433063019 ,0.04081333079 ,0.0342742285 ,0.002473739907 ,0.03180114611 ,0.0216111904 ,0.009288960369 ,0.007369005471 ,0 ,0 ,0 ,0.04081333079 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.04081333079 ,0.03241762036 ,0.03020798933 ,0.02843221772 ,0.02842351288 ,0.02706727694 ,0.02666266001 ,0.002346645575 ,0.02750979277 ,0.01736245514 ,0.004969320027 ,0.004969320027 ,0 ,0 ,0 ,0.03241762036 ,0.02012340171 ,0.002346645575 ,0.01777675614 ,0 ,0 ,0 ,0 ,0 ,0.008236321504 ,0 ,0.005675139488 ,0.004969320027 
WZZ_3l3v,28.14482833 ,0.8990605779 ,0.8614043881 ,0.788489188 ,0.7693552146 ,0.1851990875 ,0.5111011773 ,0.4699920561 ,0.09630706401 ,0.09444165947 ,0 ,1.877245268e-05 ,0.02540493413 ,0.7630654815 ,1.920272553e-05 ,1.920272553e-05 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.02542370658 ,0.01077076857 ,0.001610942621 ,0.001610942621 ,0.001611075539 ,0.001608588849 ,0.001601586147 ,0.0008061025583 ,0.0008048400632 ,0.0008061025583 ,0 ,0 ,0 ,0 ,0 ,0.001610942621 ,0.7868783521 ,0.7495236746 ,0.7370604048 ,0.7263231516 ,0.7168056484 ,0.6707479879 ,0.7322362721 ,0.1649708079 ,0.5059158727 ,0.4649720404 ,0.0824709939 ,0.0824709939 ,0 ,1.823377715e-05 ,0.01981708075 ,0.7296883601 ,0.301767453 ,0.06285075818 ,0.2108696187 ,0.02929065461 ,0.02704396802 ,0.005039821335 ,0.02090001444 ,0.001104132243 ,0.3877987678 ,0.08520599959 ,0.2551010669 ,0.05008212262 
ZZZ_2l4v,0.3179998883 ,0.007313165457 ,0.007078264219 ,0.006183281495 ,0.005528626194 ,0.0007496024054 ,0.0049037205 ,0.001599773767 ,0.001342467003 ,0.001342467003 ,0 ,0 ,0 ,0.006183281495 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.006183281495 ,0.006038775515 ,0.005861587292 ,0.005721579302 ,0.005579690008 ,0.004977395967 ,0.005384798231 ,0.0007484716334 ,0.004759960015 ,0.00144733042 ,0.001170922493 ,0.001170922493 ,0 ,0 ,0 ,0.006038775515 ,0.003594712726 ,1.162574335e-05 ,0.003454996266 ,0.0001280907163 ,0 ,0 ,0 ,0 ,0.001988755845 ,0.000560945351 ,0.001025557344 ,0.001042831776 
lllv,84462.04768 ,2551.289056 ,2415.757513 ,1583.407083 ,1507.740403 ,336.6476219 ,1070.371821 ,979.5927471 ,206.98008 ,203.0389162 ,0.04331400699 ,1.160681354 ,44.83769251 ,1537.365395 ,1.232153295 ,0.781247874 ,0.01667253929 ,0.3533632716 ,0.195520224 ,0.02599433633 ,0.1318487112 ,0.0544604053 ,0.1485262227 ,0.04170391224 ,0.04170391224 ,0.002157482086 ,0.03949810353 ,0.00919619808 ,0.003750271 ,4.832663035e-05 ,0.03398416962 ,5.058127135e-05 ,0.07278755953 ,0.001691327547 ,0.1468348951 ,45.89055175 ,19.19155154 ,2.145776205 ,2.073871518 ,2.065536826 ,2.031027546 ,1.9097293 ,1.986530997 ,0.08131776643 ,1.802184886 ,0.9727653272 ,0.3101859488 ,0.2516498751 ,0.00215844973 ,0.05294400227 ,2.090673753 ,1581.072743 ,1456.110508 ,1429.01898 ,1415.145623 ,1394.107282 ,1327.1019 ,1402.011507 ,290.1554257 ,1014.833179 ,924.6523336 ,173.7895809 ,172.0728526 ,0.0389629819 ,0.8519945478 ,36.42596855 ,1418.793582 ,641.3159558 ,124.3675686 ,450.8063011 ,71.50060321 ,54.73425639 ,8.705292688 ,44.19190487 ,2.041230036 ,697.3536032 ,138.4529485 ,483.6453625 ,91.09355786 
llvv,15795.46456 ,402.6930583 ,303.3800822 ,101.101076 ,87.80576379 ,6.197941184 ,89.28356312 ,24.10197542 ,14.49903059 ,13.08779779 ,0 ,0.2161295981 ,3.035049461 ,97.84989697 ,0.2232637408 ,0.2232637408 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.251179059 ,0.9872115061 ,0.224280746 ,0.224280746 ,0.2242916405 ,0.2240593359 ,0.2233707894 ,0.1604662193 ,0 ,0.224280746 ,0.1019856399 ,0.0301916413 ,0.0301916413 ,0 ,0 ,0.224280746 ,100.8955951 ,92.95603726 ,91.79438317 ,90.93218637 ,89.56255935 ,85.57877557 ,80.70863103 ,3.152280918 ,85.90110544 ,21.32598893 ,11.99563677 ,11.52266529 ,0 ,0.2254465549 ,2.528027369 ,90.20256333 ,57.64171119 ,1.20835412 ,54.77440547 ,3.170554796 ,1.91068732 ,0.01019909087 ,1.886659511 ,0.08401181572 ,30.0036755 ,1.628085512 ,26.35738357 ,7.918873324 
lllljj,359.315826 ,143.0235082 ,138.5716309 ,86.87666532 ,85.17735169 ,70.90249355 ,8.877779222 ,8.055706763 ,7.782354159 ,6.957058401 ,0.004487797238 ,0.158789649 ,4.101992409 ,82.61139547 ,0.1673435829 ,0.003989852648 ,0.00446760786 ,0.128901826 ,0.0892564399 ,0.002220228664 ,0.03742515743 ,0.02832051619 ,0.05491817369 ,0.01637834334 ,0.01637834334 ,0.003167665447 ,0.01321067789 ,0.01321067789 ,0.0006557303714 ,0.0006557303714 ,0.02722793753 ,0 ,0.01131189282 ,0 ,0.05491817369 ,4.213331315 ,3.914900807 ,1.559972927 ,1.539875076 ,1.51025907 ,1.454516277 ,1.328255424 ,1.449402343 ,0.3173137496 ,1.040186388 ,0.9903158946 ,0.1124855095 ,0.1105683376 ,0.004413223127 ,0.04096523668 ,1.514594467 ,85.26062428 ,64.2783727 ,63.31689574 ,62.45370273 ,60.6625572 ,55.6904308 ,63.38632779 ,55.27856738 ,6.978804349 ,6.21867387 ,2.438228733 ,2.404148586 ,1.608975253e-05 ,0.03271800774 ,1.674144384 ,62.57149422 ,32.13483486 ,27.43104843 ,3.219424073 ,1.570751698 ,24.47443522 ,23.35738603 ,1.022483863 ,0.09965899233 ,4.000662903 ,1.391968413 ,2.254943341 ,0.6551595669 
lllvjj,1177.41821 ,56.35554774 ,53.64067157 ,36.9890113 ,35.73147922 ,8.841867358 ,25.07108403 ,23.10965503 ,3.648994288 ,3.593558989 ,1.498153779e-05 ,0.04747401509 ,1.292372095 ,35.6491502 ,0.04823208455 ,0.029815936 ,1.790852548e-05 ,0.01636125402 ,0.008013396789 ,0.0005408319412 ,0.007807025293 ,0.001632508414 ,0.007226102825 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.003918359464 ,0.0005408319412 ,0.002766911421 ,0 ,0.007226102825 ,1.332453102 ,0.4947720995 ,0.0615955965 ,0.05945840502 ,0.05796487939 ,0.05627663191 ,0.05305298867 ,0.05630118317 ,0.004958074591 ,0.0493160942 ,0.02420009343 ,0.01015574166 ,0.01015574166 ,1.919612441e-05 ,0.001575315928 ,0.06000108445 ,36.92048318 ,34.79965192 ,34.14597125 ,33.65092528 ,32.73228255 ,30.11759544 ,33.91246192 ,7.771393082 ,24.42968066 ,22.4465496 ,3.013331575 ,2.986756575 ,0 ,0.03401204413 ,1.096133572 ,33.6695063 ,15.13903972 ,3.335534277 ,10.74819341 ,1.151144398 ,1.287794555 ,0.2209198934 ,1.037427633 ,0.03628597663 ,16.27637686 ,3.699310927 ,11.28995553 ,1.578708032 
llvvjj,416.7628012 ,13.89066382 ,10.80012647 ,3.527743901 ,3.108555452 ,0.2165059173 ,3.064070147 ,1.164377922 ,0.4451608549 ,0.4203349596 ,0 ,0.013339784 ,0.1540434653 ,3.360360651 ,0.01355561521 ,0.01355561521 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1673832493 ,0.03836349328 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.527743901 ,3.311052131 ,3.297536381 ,3.255966353 ,3.172514821 ,2.891173796 ,2.9407727 ,0.1614034488 ,2.987480766 ,1.059294007 ,0.3220346352 ,0.29618011 ,0 ,0 ,0.1194135365 ,3.191638595 ,1.833513185 ,0.09537848225 ,1.658371131 ,0.1205980006 ,0.08097357024 ,0 ,0.08097357024 ,0 ,1.253183816 ,0.06602496654 ,1.104754505 ,0.1884832722 
llll_lowMllPt,35734.38283 ,7545.167332 ,7302.326421 ,3502.384553 ,3158.168053 ,1293.779276 ,416.7472493 ,386.6287158 ,1931.736499 ,1506.405936 ,0 ,3.337355741 ,96.126113 ,3402.921084 ,3.40035376 ,0.257925272 ,0 ,3.039432839 ,2.633035332 ,0 ,0.4063975066 ,0 ,1.141992941 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.8670526594 ,0 ,0.2749402821 ,0 ,1.141992941 ,98.35345017 ,89.58220617 ,0.2102170438 ,0.2102170438 ,0.2102170438 ,0.2102170438 ,0.2102170438 ,0.2102170438 ,0 ,0.2102170438 ,0 ,0 ,0 ,0 ,0 ,0.2102170438 ,3501.04758 ,388.7088181 ,384.0581908 ,379.569291 ,375.9167691 ,367.3570008 ,354.6006098 ,48.4191163 ,268.0713723 ,243.3121597 ,139.8978559 ,132.6929662 ,0 ,0.510661873 ,7.306313989 ,380.8918422 ,137.2736637 ,25.246729 ,63.2240621 ,50.79161794 ,3.41369886 ,0.5420500636 ,2.091861106 ,1.063483804 ,234.9834243 ,19.00960965 ,195.2799201 ,83.62313104 
lllv_lowMllPt,20415.64891 ,586.727687 ,559.44746 ,64.42542401 ,40.68792761 ,5.867926233 ,54.1726526 ,47.11254118 ,23.08526685 ,19.84798513 ,0 ,0.03300182521 ,2.20173838 ,62.1906838 ,0.03365107998 ,0 ,0 ,0.03367719054 ,0.03367719054 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.234740205 ,1.584119787 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64.42542401 ,9.16360196 ,9.159801202 ,8.927406916 ,8.564394345 ,8.412512139 ,6.063721425 ,0.447070559 ,8.19175177 ,3.121821969 ,3.362369792 ,3.196094359 ,0 ,0 ,0.3504791863 ,8.813122774 ,3.539621678 ,0.2386910948 ,3.167200429 ,1.38111236 ,0.0009164397488 ,0 ,0.0009164397488 ,0 ,5.015413793 ,0.1309884079 ,4.520471768 ,1.900622717 
llvv_lowMllPt,96.47294111 ,2.555247064 ,2.448417811 ,0.5335458815 ,0 ,0 ,0.5335458815 ,0.5335458815 ,0 ,0 ,0 ,0 ,0 ,0.5335458815 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.5335458815 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
